task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
65	20/4692df	37168496	factorize_worker (factorize_k20_worker12)	COMPLETED	0	2025-09-21 17:30:53.956	19m 42s	3m 49s	64.5%	233.1 MB	990.5 MB	36.4 MB	3.5 MB
61	cc/054441	37168495	factorize_worker (factorize_k25_worker11)	COMPLETED	0	2025-09-21 17:30:53.755	19m 47s	3m	70.4%	230.3 MB	990 MB	36.4 MB	3.5 MB
73	0a/bebc83	37168501	factorize_worker (factorize_k10_worker14)	COMPLETED	0	2025-09-21 17:30:54.956	20m 11s	2m 29s	97.9%	232.8 MB	990.4 MB	36.4 MB	3.5 MB
68	5b/15ed06	37168500	factorize_worker (factorize_k10_worker13)	COMPLETED	0	2025-09-21 17:30:54.753	20m 36s	2m 52s	97.6%	231.2 MB	990.2 MB	36.4 MB	3.5 MB
70	bd/464fc8	37168502	factorize_worker (factorize_k20_worker13)	COMPLETED	0	2025-09-21 17:30:55.153	21m 11s	2m 53s	97.6%	232.5 MB	990 MB	36.4 MB	3.5 MB
71	7e/1f9d42	37168503	factorize_worker (factorize_k25_worker13)	COMPLETED	0	2025-09-21 17:30:55.359	21m 11s	2m 54s	97.7%	230.5 MB	989.9 MB	36.4 MB	3.5 MB
75	b4/e941f3	37168505	factorize_worker (factorize_k20_worker14)	COMPLETED	0	2025-09-21 17:30:57.602	21m 13s	2m 30s	97.7%	232.5 MB	990 MB	36.4 MB	3.5 MB
74	9f/5fb672	37168504	factorize_worker (factorize_k15_worker14)	COMPLETED	0	2025-09-21 17:30:57.474	21m 19s	2m 31s	97.5%	230.6 MB	989.9 MB	36.4 MB	3.5 MB
78	31/942b5d	37168509	factorize_worker (factorize_k10_worker15)	COMPLETED	0	2025-09-21 17:31:00.093	21m 36s	1m 52s	97.7%	232.3 MB	991 MB	36.4 MB	3.5 MB
81	5d/0e2092	37168510	factorize_worker (factorize_k25_worker15)	COMPLETED	0	2025-09-21 17:31:00.223	22m 26s	2m 4s	89.4%	231 MB	990.6 MB	36.4 MB	3.5 MB
76	29/3f4df7	37168506	factorize_worker (factorize_k25_worker14)	COMPLETED	0	2025-09-21 17:30:57.725	23m 3s	3m 9s	77.8%	232.7 MB	990.2 MB	36.4 MB	3.5 MB
83	c7/811f6f	37168511	factorize_worker (factorize_k10_worker16)	COMPLETED	0	2025-09-21 17:31:00.347	23m 16s	3m 1s	97.9%	232.5 MB	990.2 MB	36.4 MB	3.5 MB
89	6d/cf135d	37168517	factorize_worker (factorize_k15_worker17)	COMPLETED	0	2025-09-21 17:31:05.096	23m 31s	1m 53s	97.5%	231 MB	990.6 MB	36.4 MB	3.5 MB
88	bd/246b27	37168518	factorize_worker (factorize_k10_worker17)	COMPLETED	0	2025-09-21 17:31:05.228	23m 31s	1m 51s	97.7%	229.3 MB	989.9 MB	36.4 MB	3.5 MB
82	af/18bd17	37168516	factorize_worker (factorize_k30_worker15)	COMPLETED	0	2025-09-21 17:31:04.970	23m 36s	1m 55s	97.3%	230.6 MB	989.2 MB	36.4 MB	3.5 MB
84	ef/ea43d1	37168512	factorize_worker (factorize_k15_worker16)	COMPLETED	0	2025-09-21 17:31:02.479	23m 44s	3m 4s	97.6%	233.1 MB	990.4 MB	36.4 MB	3.5 MB
79	3a/52cfe5	37168508	factorize_worker (factorize_k15_worker15)	COMPLETED	0	2025-09-21 17:30:59.966	23m 51s	3m 38s	44.9%	230.8 MB	989.3 MB	36.4 MB	3.5 MB
86	ff/908eab	37168514	factorize_worker (factorize_k25_worker16)	COMPLETED	0	2025-09-21 17:31:02.725	24m 13s	3m 3s	97.6%	230.5 MB	989.9 MB	36.4 MB	3.5 MB
85	8a/909286	37168515	factorize_worker (factorize_k20_worker16)	COMPLETED	0	2025-09-21 17:31:02.848	24m 13s	3m 4s	97.6%	232.6 MB	990.3 MB	36.4 MB	3.5 MB
77	7a/57ab9d	37168507	factorize_worker (factorize_k30_worker14)	COMPLETED	0	2025-09-21 17:30:57.849	24m 28s	4m 5s	52.9%	232.8 MB	990.2 MB	36.4 MB	3.5 MB
90	a0/c4df2a	37168520	factorize_worker (factorize_k20_worker17)	COMPLETED	0	2025-09-21 17:31:07.481	25m 4s	1m 53s	97.4%	230.4 MB	989.8 MB	36.4 MB	3.5 MB
80	92/4fce8b	37168513	factorize_worker (factorize_k20_worker15)	COMPLETED	0	2025-09-21 17:31:02.603	25m 33s	4m 42s	40.3%	230.4 MB	990 MB	36.4 MB	3.5 MB
92	47/399e33	37168522	factorize_worker (factorize_k30_worker17)	COMPLETED	0	2025-09-21 17:31:07.737	25m 33s	1m 53s	97.6%	230.3 MB	990 MB	36.4 MB	3.5 MB
91	e2/df8937	37168523	factorize_worker (factorize_k25_worker17)	COMPLETED	0	2025-09-21 17:31:07.867	25m 33s	1m 52s	97.7%	230.6 MB	989.2 MB	36.4 MB	3.5 MB
87	99/444f62	37168519	factorize_worker (factorize_k30_worker16)	COMPLETED	0	2025-09-21 17:31:05.354	25m 41s	3m 1s	98.0%	232.3 MB	989.8 MB	36.4 MB	3.5 MB
95	41/d28023	37168524	factorize_worker (factorize_k20_worker18)	COMPLETED	0	2025-09-21 17:31:09.977	25m 46s	2m 10s	97.8%	230.5 MB	990.2 MB	36.4 MB	3.5 MB
